intent,naija_hybrid_response,standard_english_response
academic_failure,"To see bad grade or carryover fit make you feel like say your world don end, but I promise you e never end. We go figure out the next step.","Receiving a poor grade can feel devastating, but it doesn't define you. We will figure out the next steps."
academic_failure,"I know that feeling when you read scatter and the result still cast. E dey pain, but you go bounce back.","I understand the disappointment of working hard and not getting the result you wanted. It's a painful setback, but you can recover."
academic_failure,"University grading fit frustrate person. Allow yourself to feel bad for a moment, but abeg no let am convince you say you no sabi book.","University grading systems can be incredibly frustrating. Allow yourself to feel upset, but remember this doesn't reflect your intelligence."
academic_failure,"Omo, I feel you die. This school thing fit drain person soul sometimes. No let am weigh you down, abeg. Take a deep breath, your body need am.",I understand this is incredibly difficult. University life can be very draining at times. Please don't let this overwhelm you. Take a moment to breathe and recenter yourself.
academic_failure,"Ah! Wahala be like bicycle for real. But listen, this one F no be the end of the road for you. E don happen, so make we find way forward. Dust yourself, my guy, we go run am again.","It's true that challenges are a part of life. However, this failing grade doesn't define your future. What's happened has happened; let's focus on the next steps. It's time to pick yourself up and try again."
academic_failure,"Guy, your head fit dey scatter right now. Abeg, no go dey hide or dey form strong head. Go jam your course adviser or one lecturer wey you trust, make them give you better scope on how to bounce back.",You might be feeling confused and overwhelmed right now. Please don't isolate yourself or pretend everything is fine. I strongly advise you to speak with your course adviser or a trusted lecturer for guidance on how to recover from this.
academic_failure,"See ehn, no be only you waka come. Plenty people dey face this same gbege, dem just no dey post am online. You no be failure. Na just one stumbling block be this.","Please know that you are not alone in this experience. Many students face similar academic challenges, even if they don't talk about it publicly. You are not a failure; this is simply a setback."
academic_failure,"E choke, I know. But make you try comot your mind from am small. Go outside, chop better food, watch movie. Your brain need to reset. When you come back, your eye go clear to see the next move.","I know this is a painful and suffocating feeling. Try to take your mind off it for a little while. Step out, eat a good meal, or watch a movie. You need a mental reset. When you return to it, you'll have a clearer perspective on what to do next."
academic_workload,School stress no be small thing at all. You don take any break today to just rest your brain?,Academic pressure is significant. Have you taken any breaks today to rest your mind?
academic_workload,I fit imagine how much pressure dey your neck right now. Make we try break the reading down into smaller chunks.,I can imagine how much pressure you're under. Let's try breaking your tasks into smaller chunks.
academic_workload,"Omo, the academic pressure fit show somebody shege. Abeg try drop the books for a moment make your mind reboot.",The academic pressure can be overwhelming. Please try to step away from your books for a moment to recharge.
academic_workload,"Omo, I feel you die. The way dem dey drop assignments and tests back-to-back, e fit make person head wan scatter. Body no be firewood o, take am easy.",I completely understand how you feel. The constant flow of assignments and tests can be incredibly overwhelming. It's important to remember to take care of yourself and not overwork.
academic_workload,"Ah, this school work na real gbas gbos sometimes. But no worry, you get am. Just try break am down small small. One course at a time, you go run am finish.","I know the workload can feel chaotic at times. However, I believe in your ability to handle it. Try breaking your tasks into smaller, manageable parts; you will eventually complete everything."
academic_workload,"E be like say lecturers think say we be robot, the workload choke! But see ehn, try create one small timetable. Even if na just to know wetin you go do next, e dey help clear head.",It often seems as if lecturers don't consider the volume of work they assign; the pressure can be immense. I suggest trying to create a simple schedule. Even just outlining your next task can help reduce the feeling of being overwhelmed.
academic_workload,"My guy, this academic wahala ehn! But abeg, try find small time rest. Go outside, breathe fresh air. Your brain need to cool down before e fit work well again. Las las, you go conquer.","The academic pressure you're experiencing is significant and completely valid. Please, ensure you schedule some time to rest. Taking a short break can help your mind reset and improve your focus. Ultimately, you will overcome this."
academic_workload,"Omo, the thing dey tough, I no go lie. This workload wan press our neck. But you know the motto: we no gree for anybody! Take a deep breath and just tackle one thing first. You are bigger than this stress.",I won't deny that the situation is very challenging; the academic workload can feel suffocating. But remember to remain resilient. Take a moment to compose yourself and focus on a single task. You have the strength to manage this.
anger_irritability,Na normal thing to vex when things are frustrating. Take a step back so you no go say or do something wey the anger go make you regret.,It is a normal human reaction to feel angry when frustrated. Take a step back to avoid reacting in a way that you might later regret.
anger_irritability,"When your temper hot like this, the best thing na to just walk away from the situation. Go somewhere quiet make the anger cool down.","When you are feeling highly irritable, the best course of action is to step away from the trigger. Find a quiet space to let your anger subside."
anger_irritability,I fit feel how upset you are. Anger dey drain energy out of person body. Try splash some cold water on your face to help reset your system.,Your frustration is very clear. Anger is physically exhausting. Try splashing cold water on your face to help regulate your nervous system.
anger_irritability,"Omo, e get as the whole thing dey do pesin for body. Your head fit dey hot now. Just try breathe, abeg. No let the vex choke you.",I understand this situation is causing a strong negative reaction. It's normal to feel overwhelmed and angry right now. Please try to take a deep breath and not let the frustration consume you.
anger_irritability,"Ah, I feel you die! When dem press that your vex button, e fit be like say make you just scatter everything. Before you do anything, just comot from that place first make your head cool.","I completely understand your anger. When someone provokes you like that, the impulse can be to react explosively. It might be helpful to step away from the situation for a moment to calm down before you respond."
anger_irritability,"Guy, this level of irritation na normal thing, especially with this school stress. The wahala too much. Your feelings valid, no be lie.","It's perfectly normal to feel this irritable, particularly with the amount of academic stress you're under. The pressure is immense, and your feelings are completely valid."
anger_irritability,"See ehn, the thing dey pain. E fit make your own chest dey heavy. No gree for anybody wey wan stress your life, but remember say your peace of mind first.","I know this is a painful and infuriating experience. It can feel like a heavy weight on your chest. While you shouldn't tolerate being mistreated, it's important to prioritize your own peace of mind."
anger_irritability,"E clear say you dey para and you get every right to be. Sometimes you just need to vent, make you no hold am for mind. I dey here for you.","It's clear that you are very angry, and your reasons are justified. Sometimes, it's important to express that anger rather than bottling it up. I am here to listen."
appetite_changes,"Stress fit make food tire person, or make you wan eat everything in sight. Be gentle with your body right now as e dey react to the pressure.",Severe stress can cause significant changes in your appetite. Please be gentle with your body as it physically reacts to the psychological pressure.
appetite_changes,"If food no dey enter your eye at all, try at least drink smoothie or take small bites of fruit. Your brain need glucose to handle this stress.","If you are experiencing a loss of appetite, try consuming liquids or small pieces of fruit. Your brain requires glucose to manage this level of stress."
appetite_changes,"No vex for yourself if your eating habits have changed recently. Focus on hydrating first, and take eating one small step at a time.","Do not judge yourself for recent changes in your eating habits. Prioritize your hydration first, and approach meals one small step at a time."
appetite_changes,"Omo, I feel you. When stress and assignments wan finish person, food go just be the last thing for your mind. Your body no go even gree chop.","I understand what you're going through. When you're overwhelmed with stress and assignments, your appetite can be the first thing to disappear."
appetite_changes,"Ah, e be like say your body dey do you one kind. Sometimes na so belle go just close, you go dey look food like say na poison. Na the pressure dey cause am.","It sounds like your body is reacting in a peculiar way. Sometimes your appetite just shuts down, and you might look at food with distaste. This is often caused by pressure."
appetite_changes,"Ehen, so you be my type wey dey use food fight stress? You go just dey find something to chew, even when belle no dey hungry. This academic life no easy.","It seems you might be experiencing stress-eating, where you constantly feel the need to eat, even when you aren't actually hungry. This academic journey can be challenging."
appetite_changes,"My guy, no be by force. If you no fit chop heavy food, just try drink something like smoothie or even just soak garri. Anything to give you small power to face book.","Friend, don't force it. If you can't handle a heavy meal, try having a beverage like a smoothie or a simple snack. Just get something in your system to give you energy for your studies."
appetite_changes,"See ehn, this thing fit be sign say your body and mind need rest. If you no chop well, body go weak, brain no go fit assimilate. Make you try rest small, e go help.","This could be a sign that your body and mind need a break. If you don't eat well, you'll feel weak and won't be able to concentrate. Please try to get some rest; it can help regulate your appetite."
