context,response,naija_pidgin,naija_english,intents
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","If everyone thinks you're worthless, then maybe you need to find new people to hang out with.Seriously, the social context in which a person lives is a big influence in self-esteem.Otherwise, you can go round and round trying to understand why you're not worthless, then go back to the same crowd and be knocked down again.There are many inspirational messages you can find in social media.  Maybe read some of the ones which state that no person is worthless, and that everyone has a good purpose to their life.Also, since our culture is so saturated with the belief that if someone doesn't feel good about themselves that this is somehow terrible.Bad feelings are part of living.  They are the motivation to remove ourselves from situations and relationships which do us more harm than good.Bad feelings do feel terrible.   Your feeling of worthlessness may be good in the sense of motivating you to find out that you are much better than your feelings today.","Omo, things just dey occur for my head. Sleep no dey come and na so so how I be zero and how I no suppose dey this world I dey think. I never try take my life o. I don always wan arrange myself but I never fit do am. How I go take stop to dey feel say I no get value to anybody?",I’m really going through it mentally rn. I hardly sleep and I just spend the whole time thinking about how I’m useless and shouldn’t even be here. I’ve never actually tried to end it or anything. I’ve been wanting to fix my life but I haven’t been able to. How can I stop feeling so worthless to everyone?,"sadness_depression, low_self_esteem, crisis_suicide_ideation"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Hello, and thank you for your question and seeking advice on this. Feelings of worthlessness is unfortunately common. In fact, most people, if not all, have felt this to some degree at some point in their life. You are not alone. Changing our feelings is like changing our thoughts - it's hard to do. Our minds are so amazing that the minute you change your thought another one can be right there to take it's place. Without your permission, another thought can just pop in there. The new thought may feel worse than the last one! My guess is that you have tried several things to improve this on your own even before reaching out on here. People often try thinking positive thoughts, debating with their thoughts, or simply telling themselves that they need to ""snap out of it"" - which is also a thought that carries some self-criticism. Some people try a different approach, and there are counselors out there that can help you with this. The idea is that instead of trying to change the thoughts, you change how you respond to them. You learn skills that allow you to manage difficult thoughts and feelings differently so they don't have the same impact on you that they do right now. For some people, they actually DO begin to experience less hurtful thoughts once they learn how to manage the ones they have differently. Acceptance and Commitment Therapy may be a good choice for you. There is information online and even self-help books that you can use to teach you the skills that I mentioned. Because they are skills, they require practice, but many people have found great relief and an enriched life by learning them. As for suicidal thoughts, I am very glad to read that this has not happened to you. Still, you should watch out for this because it can be a sign of a worsening depression. If you begin to think about this, it is important to reach out to a support system right away. The National Suicide Prevention Lifeline is 1-800-273-8255. The text line is #741741. I hope some other colleagues will provide you more suggestions. Be well...Robin Landwehr, DBH, LPCC","I dey pass through some heavy levels for my mind. Sleep no gree come at all, na only to dey reason how I be total waste and why I even follow dey dis world. I never try to kpai myself or reason am before o. I don always wan set my life right, but de thing just dey drag. How I fit change dis feeling say I no get value for anybody eye?","I’m really going through it mentally right now. I barely sleep sef, all I do is just think about how I’m useless and why I’m even here. I’ve never tried to harm myself or anything like that. I’ve always wanted to fix up and sort my life out, but I just never get around to it. How can I stop feeling like I’m worthless to everyone?","low_self_esteem, crisis_suicide_ideation, seeking_coping_advice"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",First thing I'd suggest is getting the sleep you need or it will impact how you think and feel. I'd look at finding what is going well in your life and what you can be grateful for. I believe everyone has talents and wants to find their purpose in life. I think you can figure it out with some help.,"Omo, things dey really sup for my mind. Sleep no gree come eye at all, na so so how I be useless person and why I even dey dis world I just dey reason. I never try killi myself sha, and I really wan arrange my life but e be like say the power no dey. How I fit change this feeling say I no get value to anybody?","I’m really going through it mentally right now. I hardly even sleep, I just spend the whole time thinking about how I’m worthless and shouldn't even be here. I haven’t tried to end it or anything, and I’ve always wanted to sort myself out, but I just never get around to it. How can I stop feeling like I have zero value to everyone?","crisis_suicide_ideation, low_self_esteem, sleep_insomnia"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Therapy is essential for those that are feeling depressed and worthless. When I work with those that are experiencing concerns related to feeling of depression and issues with self esteem. I generally work with my client to help build coping skills to reduce level of depression and to assist with strengthening  self esteem, by guiding my client with CBT practices. CBT helps with gaining a better awareness of how your thought process influences your belief system, and how your beliefs impact your actions and the outcome of your behaviors.  This process isn’t easy but it helps teach an individual that we don’t always have control over what happens in our lives but we can control how we interpret, feel, and behave. CBT is good for individuals dealing with depression, anxiety, toxic relationships, stress, self esteem, codependency, etc.","I dey face many things for my mind and inside my body. Eye no dey close at all, na so so tink-tink say I be zero and say I no suppose dey this world again. I never try to kpai my body or tink am sef. I dey always wan set my matter, but body no dey follow. Abeg, how I fit stop to dey feel say I be waste to everybody?","I'm going through a lot with my mental right now. I barely sleep, I just stay up thinking about how I'm useless and how I shouldn't even be here. I've never tried to kill myself or even thought about it. I always want to sort my life out, but I just never get around to it. How can I change this feeling that I'm worthless to everyone?","sadness_depression, low_self_esteem, sleep_insomnia"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",I first want to let you know that you are not alone in your feelings and there is always someone there to help. You can always change your feelings and change your way of thinking by being open to trying to change. You can always make yourself available to learning new things or volunteering so that you can make a purpose for yourself.,"I get plenty wahala for my mind and the way I dey feel. I no dey fit sleep, na so so overthink how I no get value and why I even dey this world. I never try say I wan kill myself and the thought sef no dey come. I don dey find way to fix my life but the power no dey. How I fit change this thing wey dey make me feel say I be zero for people eye?","I’m really going through it mentally. I barely sleep, I just stay up thinking about how I’m useless and why I’m even here. I’ve never tried to end it or anything. I’ve always wanted to fix my life but I just haven’t been able to. How can I stop feeling like I’m worthless to everyone?","sadness_depression, low_self_esteem, sleep_insomnia"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Heck, sure thing, hun!Feelings of 'depression' have a deeply-rooted base in physical structures that may not be functioning very well at present; and, we can certainly turn them on again using means that you are able to find around the house and with relative ease :)After that, emotional and spiritual support will be liberally applied.","I dey go through some heavy things for my mind and with mysef. I no dey fit sleep well-well, na so so tink-tink I just dey do—how I be useless person and how I no suppose dey this world again. I never try kill mysef or even tink am like that. I don always wan fix my life, but I never fit start am. How I go fit change this feelin say I no get value to anybody?","I’m going through a lot mentally and personally. I hardly sleep sef, I just spend the whole time thinking about how I’m worthless and shouldn't even be here. I've never actually tried to end it or anything. I’ve always wanted to sort myself out, but I never get around to it. How can I stop feeling like I’m useless to everyone?","low_self_esteem, sadness_depression, sleep_insomnia"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",You are exhibiting some specific traits of a particular temperament type. Seek out a counselor who provides NCCA temperament therapy and discover the joy of being you -- God loves you as you are!,"I dey pass through some heavy things with my mind and my body. I no dey sleep at all, I just dey tink say I useless and I no suppose dey this life again. I never try kill myself or even tink about am. I dey always wan fix my life, but body no just gree. How I fit change this feeling say I no get value for anybody eye?","Omo, I’m really going through a lot mentally. I hardly sleep sef, all I do is just sit and think about how I’m useless and shouldn't even be alive. I’ve never actually tried to end it or anything. I’ve always wanted to sort myself out, but I just never get around to it. How can I stop feeling like I’m worthless to everyone?","sadness_depression, low_self_esteem, sleep_insomnia"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","That is intense. Depression is a liar. Sometimes depression places these glasses over our eyes, these dark sunglasses that change how we see things. Depression tells us things like ""you're worthless"" ""no one likes you"" ""don't worry about doing anything."" And it is so easy for us to listen and to be tricked into thinking that just because we feel something means it is true. Please know that even if you are feeling worthless right now, that doesn't mean you are worthless.The first step to working through this is recognizing what is going on. Recognizing when depression is telling you the same story (ie; being worthless) with different words (ie worthless here, worthless there) and making an effort to talk back. While I can not give you a diagnosis of depression, reading what you are going through, it sounds like you might need help to get back on track. Seeing a counselor can open an entirely new option up wherein someone who is not involved in your life can help you without judgement and with an objective perspective. This can do wonders in unwrapping these kinds of thoughts. Wishing you the absolute best!","I dey pass through some kind deep things for my mind and my body. Sleep no dey come eye at all, na so so how I useless and how I no suppose dey this world I just dey reason. I never try kill myself or even tink am. I dey always wan fix my life, but the power or chance just no dey. Wetin I fit do make I stop to dey feel say I no get value to anybody?","I’m really going through it with my mental and my headspace tbh. I barely sleep sef, I just spend all night thinking about how I’m useless and how I shouldn’t even be here. I’ve never tried to end it or anything like that. I always want to sort my life out but I just never get around to it. How can I stop feeling like I have no value to anyone?","low_self_esteem, crisis_suicide_ideation, sleep_insomnia"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",It sounds like you may be putting yourself last. You wrote that you want to fix your issues but never get around to it. I wonder how you are spending your mental and physical energy. Are you spending time taking care of and doing for others? I also wonder where the thoughts and feelings of being worthless are coming from - are you around people who treat you poorly or are hurtful? Or do you feel it is more of a worry you have but aren't really sure how others feel? It may be helpful to talk to someone about your feelings - a counselor perhaps - to clarify your feelings and move forward from se that are hurting you.,"My head dey full, body no just set for inside. Sleep don escape me, na so so how I useless and why I even dey exist na im I dey tink. I never say I wan end am or kill myself o. I wan fix my life, but I just dey drag leg. Abeg, how person go fit change dis feeling say I no get value to anybody?","Omo, I’m going through a lot mentally. I barely sleep sef, na just overthinking say I’m worthless and shouldn’t even be here. I’ve never tried to end it or anything like that. I really want to fix myself but I just haven't been able to. How can I stop feeling like I’m a nobody to everyone?","low_self_esteem, crisis_suicide_ideation, sadness_depression"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","It must be really difficult to experience what your going through right now.  It takes a lot of courage to reach out. It sounds like you want to get better, but perhaps need some help to get over the hump.  Many of the symptoms you have described are consistent with a person who is dealing with depression.   Depression is a treatable condition.  Typically, if these symptoms have persisted for more than two weeks, then it is a good idea to seek professional help.   Someone who is trained in dealing with depression.  Initially, a comprehensive assessment would be completed to rule out any other causes for your symptoms and to determine the exact nature of your presenting concern.  Then, in collaboration with one another, a tailored treatment plan would be developed, focusing on how to best help you reach your goals.  The good news is that their is hope for getting better! You don;t have to do it alone.  Allow me to be your ally in healing.","I dey pass through many things for my mind. Sleep no dey come sef, na so so to dey tink say I be waste and say I for no dey here at all I dey do. I never try kill myself or plan say I wan do am o. I don always wan fix my levels, but I never fit get chance start. How I go do make I stop to dey feel say I no get value for anyone?","Omo, I’m going through a lot mentally. I barely sleep, just thinking about how I’m worthless and if I’m even supposed to be here. I’ve never tried to kill myself or anything like that. I’ve always wanted to fix my life but I just never get around to it. How can I stop feeling like I’m useless to everyone?","sadness_depression, low_self_esteem, seeking_coping_advice"
